,state,source_water_area,loss,gain,extent,unit,percent_loss,haa5,tthm,alerts
0,or,seaside,6075.605445,2425.014379,12940.4394,hectares,47%,0.01498125,0.034371875,
1,or,fishhawk,838.8940571,502.3762695,3790.843484,hectares,22%,0.029369231,0.051515385,
2,or,kernville_gleneden,1486.529177,932.7203202,8625.774774,hectares,17%,0.022447419,0.0216975,
3,or,youngs_river,253.3071912,133.8183217,662.1395829,hectares,38%,0.03541907,0.051128261,
4,or,cannon_beach,940.1085971,380.2751432,2030.160707,hectares,46%,0.00398,0.009158333,
5,or,tillamook,662.7328533,308.8994948,2268.411342,hectares,29%,0.0087382,0.016611207,
6,or,neskowin,164.1595301,149.4367181,568.7786249,hectares,29%,0.031365714,0.048807143,
7,or,warrenton,2413.7655,1016.668325,7001.141516,hectares,34%,0.036164103,0.045707692,
8,or,rainbow_rock_village,15.04257266,26.17740218,368.1716421,hectares,4%,0.027161538,0.049923077,
9,or,sw_lincoln_co,0.872097537,0.72443908,1395.570911,hectares,0%,0.010136842,0.017657143,
10,or,rockaway,403.3074691,81.60479959,520.9220241,hectares,77%,0.030771429,0.063102564,
11,or,rainbow_rock_condos,2.404887259,2.254167345,61.86716506,hectares,4%,0.012015882,0.056188889,
12,or,mapleton,1.166559663,0,202.5710653,hectares,1%,0.036352364,0.053228571,
13,or,toledo,104.7815878,7.658891441,1063.833177,hectares,10%,0.006556364,0.013043667,
14,or,manzanita,136.8610693,23.07467538,223.9650277,hectares,61%,0.0090125,0.012404762,
15,or,wickiup,109.5830638,21.93367825,544.4495387,hectares,20%,0.024129615,0.025975833,
16,or,vernonia,294.1510426,544.4688407,978.6813183,hectares,30%,0.020829545,0.04586,
17,or,tierra_del_mar,0,0,66.72139199,hectares,0%,0.019084211,0.044510526,
18,or,coquille,24659.88842,19136.43216,107452.5818,hectares,23%,0.036216923,0.050292424,
19,or,siletz,37.29490419,74.6998233,80.30334426,hectares,46%,0.027452,0.024056,
20,or,south_coast,910.0243945,1882.700451,13664.8189,hectares,7%,0.0451725,0.0565845,
21,or,lakeside,483.8150021,458.4877054,1252.977336,hectares,39%,0.015334667,0.046616129,
22,or,heceta,19.66307815,3.500020275,143.1082202,hectares,14%,0.009096,0.028636,
23,or,astoria,62.82483116,14.06751913,1098.091436,hectares,6%,0.049828188,0.044697987,
24,or,lincoln_city,199.2031382,161.847774,3822.615168,hectares,5%,0.027207207,0.022595455,
25,or,newport,38.03957915,48.74130444,788.3381729,hectares,5%,0.029258425,0.047305844,
26,or,alderwood,167.7949904,220.8619918,1239.043651,hectares,14%,0.027190588,0.03688125,
27,or,beverly_beach,31.23208489,155.9036762,493.2660632,hectares,6%,0.012814375,0.043384211,
28,or,panther_creek,1.145023625,33.37430276,417.0764748,hectares,0%,0.019547818,0.026314,
29,or,myrtle_point,14080.79758,9365.871285,66568.62222,hectares,21%,0.021625385,0.049675,
30,or,berndt_creek,3857.934147,3456.399396,12252.98166,hectares,31%,0.020853846,0.026138462,
31,or,netarts,24.87359779,11.11023973,142.0479503,hectares,18%,0.00472,0.025347619,
32,or,port_orford,27.54670185,77.77974104,885.4722923,hectares,3%,0.035071463,0.068293023,
33,or,coos_bay,130.7543772,97.93635701,893.3923309,hectares,15%,0.014686821,0.026373083,
34,or,johnson_creek,107.5876124,96.25851755,208.5278892,hectares,52%,0.019319333,0.054568966,
35,or,bay_hills,0,0,10.95493491,hectares,0%,0.036394091,0.051404545,
36,or,yachats,11.01363473,0,313.4925027,hectares,4%,0.009891429,0.009208462,
37,or,weiss_estates,16.26264523,15.82448255,275.9649467,hectares,6%,0.047612632,0.070455,
38,or,garden_valley,0,0.148106434,168.7651828,hectares,0%,0.038952632,0.041719565,
39,or,beaver,742.9448251,833.3562849,6870.051821,hectares,11%,0.027469697,0.037260526,
40,or,arch_cape,151.4006992,36.58658035,479.2502517,hectares,32%,0.068163333,0.079196667,
41,or,powers,5149.992576,3663.127133,35867.49614,hectares,14%,0.016666667,0.018829524,
42,or,bandon,23.83331043,87.76606337,802.9512259,hectares,3%,0.010446341,0.041427451,
43,or,reedsport,99.65410571,148.444402,351.1950857,hectares,28%,0.009367742,0.043169091,
44,or,waldport,107.9071443,47.38757584,1256.788906,hectares,9%,0.010046,0.020740909,
45,or,oceanside,7.820644029,5.124438767,523.0658248,hectares,1%,0.0131,0.036193333,
46,or,langlois,3119.23932,2599.724608,13159.734,hectares,24%,0.037747619,0.05205,
47,or,depoe_bay,861.3946984,544.5767514,2397.074618,hectares,36%,0.013222778,0.023930417,
